coluna;valor;frequencia;pct
tracado_via;"Rotatória;Interseção de Vias;Viaduto";16;0.0027
tracado_via;"Interseção de Vias;Em Obras;Reta;Declive";16;0.0027
tracado_via;"Interseção de Vias;Retorno Regulamentado;Curva";16;0.0027
tracado_via;"Interseção de Vias;Ponte;Curva;Aclive;Viaduto";16;0.0027
tracado_via;"Viaduto;Reta;Rotatória";16;0.0027
tracado_via;"Em Obras;Declive;Desvio Temporário";16;0.0027
tracado_via;"Interseção de Vias;Rotatória;Reta;Declive";16;0.0027
tracado_via;"Aclive;Reta;Retorno Regulamentado;Interseção de Vias";16;0.0027
tracado_via;"Desvio Temporário;Aclive";16;0.0027
tracado_via;"Em Obras;Interseção de Vias;Retorno Regulamentado;Reta";16;0.0027
tracado_via;"Em Obras;Reta;Desvio Temporário;Interseção de Vias";16;0.0027
tracado_via;"Desvio Temporário;Aclive;Em Obras";15;0.0026
tracado_via;"Reta;Em Obras;Declive;Desvio Temporário";15;0.0026
tracado_via;"Viaduto;Curva;Declive;Em Obras";15;0.0026
tracado_via;"Reta;Rotatória;Aclive";15;0.0026
tracado_via;"Viaduto;Reta;Interseção de Vias";15;0.0026
tracado_via;"Desvio Temporário;Declive;Reta";15;0.0026
tracado_via;"Desvio Temporário;Em Obras;Reta;Aclive";15;0.0026
tracado_via;"Interseção de Vias;Curva;Aclive";14;0.0024
tracado_via;"Interseção de Vias;Em Obras;Curva";14;0.0024
tracado_via;"Curva;Retorno Regulamentado;Aclive";14;0.0024
tracado_via;"Reta;Rotatória;Viaduto";14;0.0024
tracado_via;"Rotatória;Desvio Temporário";14;0.0024
tracado_via;"Curva;Interseção de Vias;Aclive";14;0.0024
tracado_via;"Reta;Aclive;Interseção de Vias;Retorno Regulamentado";14;0.0024
tracado_via;"Interseção de Vias;Desvio Temporário";14;0.0024
tracado_via;"Interseção de Vias;Rotatória;Retorno Regulamentado";14;0.0024
tracado_via;"Em Obras;Viaduto";13;0.0022
tracado_via;"Reta;Interseção de Vias;Viaduto;Declive";13;0.0022
tracado_via;"Rotatória;Curva;Interseção de Vias";13;0.0022
tracado_via;"Reta;Interseção de Vias;Ponte";13;0.0022
tracado_via;"Desvio Temporário;Em Obras;Declive;Curva";13;0.0022
tracado_via;"Interseção de Vias;Declive;Viaduto";13;0.0022
tracado_via;"Desvio Temporário;Em Obras;Declive;Reta";13;0.0022
tracado_via;"Interseção de Vias;Declive;Reta;Viaduto";13;0.0022
tracado_via;"Aclive;Ponte;Reta";12;0.0021
tracado_via;"Em Obras;Reta;Desvio Temporário;Viaduto";12;0.0021
tracado_via;"Curva;Em Obras;Declive";12;0.0021
tracado_via;"Reta;Interseção de Vias;Viaduto;Rotatória";12;0.0021
tracado_via;"Desvio Temporário;Reta;Interseção de Vias";12;0.0021
tracado_via;"Interseção de Vias;Curva;Aclive;Rotatória";12;0.0021
tracado_via;"Em Obras;Desvio Temporário;Declive";12;0.0021
tracado_via;"Desvio Temporário;Declive;Viaduto;Reta";12;0.0021
tracado_via;"Desvio Temporário;Curva;Aclive";12;0.0021
tracado_via;"Reta;Interseção de Vias;Desvio Temporário";12;0.0021
tracado_via;"Retorno Regulamentado;Interseção de Vias;Aclive;Reta";12;0.0021
tracado_via;"Reta;Desvio Temporário;Túnel;Em Obras";12;0.0021
tracado_via;"Rotatória;Ponte";12;0.0021
tracado_via;"Viaduto;Interseção de Vias;Reta";12;0.0021
tracado_via;"Reta;Rotatória;Em Obras";12;0.0021
