original;canonico
"Retorno Regulamentado;Curva;Túnel;Viaduto";"Curva;Retorno Regulamentado;Túnel;Viaduto"
"Viaduto;Curva;Retorno Regulamentado";"Curva;Retorno Regulamentado;Viaduto"
"Retorno Regulamentado;Curva;Viaduto";"Curva;Retorno Regulamentado;Viaduto"
"Viaduto;Retorno Regulamentado;Curva";"Curva;Retorno Regulamentado;Viaduto"
"Curva;Retorno Regulamentado;Viaduto";"Curva;Retorno Regulamentado;Viaduto"
"Curva;Viaduto;Retorno Regulamentado";"Curva;Retorno Regulamentado;Viaduto"
"Rotatória;Curva";"Curva;Rotatória"
"Curva;Rotatória";"Curva;Rotatória"
"Rotatória;Viaduto;Curva";"Curva;Rotatória;Viaduto"
"Curva;Rotatória;Viaduto";"Curva;Rotatória;Viaduto"
"Curva;Viaduto;Rotatória";"Curva;Rotatória;Viaduto"
"Túnel;Curva";"Curva;Túnel"
"Curva;Túnel";"Curva;Túnel"
"Curva;Viaduto";"Curva;Viaduto"
"Viaduto;Curva";"Curva;Viaduto"
Declive;Declive
"Declive;Desvio Temporário";"Declive;Desvio Temporário"
"Desvio Temporário;Em Obras;Declive";"Declive;Desvio Temporário;Em Obras"
"Em Obras;Desvio Temporário;Declive";"Declive;Desvio Temporário;Em Obras"
"Desvio Temporário;Declive;Em Obras";"Declive;Desvio Temporário;Em Obras"
"Em Obras;Declive;Desvio Temporário";"Declive;Desvio Temporário;Em Obras"
"Reta;Em Obras;Declive;Desvio Temporário;Ponte";"Declive;Desvio Temporário;Em Obras;Ponte;Reta"
"Reta;Em Obras;Desvio Temporário;Declive";"Declive;Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Em Obras;Reta;Declive";"Declive;Desvio Temporário;Em Obras;Reta"
"Em Obras;Desvio Temporário;Reta;Declive";"Declive;Desvio Temporário;Em Obras;Reta"
"Reta;Em Obras;Declive;Desvio Temporário";"Declive;Desvio Temporário;Em Obras;Reta"
"Reta;Desvio Temporário;Declive;Em Obras";"Declive;Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Em Obras;Declive;Reta";"Declive;Desvio Temporário;Em Obras;Reta"
"Em Obras;Desvio Temporário;Declive;Reta";"Declive;Desvio Temporário;Em Obras;Reta"
"Reta;Declive;Em Obras;Desvio Temporário";"Declive;Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Em Obras;Viaduto;Declive";"Declive;Desvio Temporário;Em Obras;Viaduto"
"Desvio Temporário;Declive;Em Obras;Viaduto";"Declive;Desvio Temporário;Em Obras;Viaduto"
"Declive;Retorno Regulamentado;Interseção de Vias;Rotatória;Desvio Temporário";"Declive;Desvio Temporário;Interseção de Vias;Retorno Regulamentado;Rotatória"
"Desvio Temporário;Reta;Declive";"Declive;Desvio Temporário;Reta"
"Reta;Desvio Temporário;Declive";"Declive;Desvio Temporário;Reta"
"Reta;Declive;Desvio Temporário";"Declive;Desvio Temporário;Reta"
"Desvio Temporário;Declive;Reta";"Declive;Desvio Temporário;Reta"
"Declive;Reta;Desvio Temporário";"Declive;Desvio Temporário;Reta"
"Desvio Temporário;Declive;Viaduto;Reta";"Declive;Desvio Temporário;Reta;Viaduto"
"Em Obras;Declive";"Declive;Em Obras"
"Declive;Em Obras";"Declive;Em Obras"
"Declive;Interseção de Vias;Em Obras";"Declive;Em Obras;Interseção de Vias"
"Interseção de Vias;Declive;Em Obras";"Declive;Em Obras;Interseção de Vias"
"Interseção de Vias;Em Obras;Reta;Declive";"Declive;Em Obras;Interseção de Vias;Reta"
"Interseção de Vias;Reta;Declive;Em Obras";"Declive;Em Obras;Interseção de Vias;Reta"
"Interseção de Vias;Declive;Reta;Em Obras";"Declive;Em Obras;Interseção de Vias;Reta"
"Em Obras;Reta;Declive;Interseção de Vias";"Declive;Em Obras;Interseção de Vias;Reta"
"Reta;Declive;Interseção de Vias;Em Obras";"Declive;Em Obras;Interseção de Vias;Reta"
"Ponte;Reta;Declive;Em Obras";"Declive;Em Obras;Ponte;Reta"
"Ponte;Em Obras;Reta;Declive";"Declive;Em Obras;Ponte;Reta"
"Declive;Em Obras;Reta";"Declive;Em Obras;Reta"
"Em Obras;Declive;Reta";"Declive;Em Obras;Reta"
"Reta;Em Obras;Declive";"Declive;Em Obras;Reta"
"Reta;Declive;Em Obras";"Declive;Em Obras;Reta"
"Declive;Reta;Em Obras";"Declive;Em Obras;Reta"
"Em Obras;Reta;Declive";"Declive;Em Obras;Reta"
"Reta;Declive;Retorno Regulamentado;Em Obras";"Declive;Em Obras;Reta;Retorno Regulamentado"
"Em Obras;Declive;Reta;Rotatória";"Declive;Em Obras;Reta;Rotatória"
"Reta;Viaduto;Em Obras;Declive";"Declive;Em Obras;Reta;Viaduto"
"Reta;Declive;Em Obras;Viaduto";"Declive;Em Obras;Reta;Viaduto"
"Interseção de Vias;Declive";"Declive;Interseção de Vias"
"Declive;Interseção de Vias";"Declive;Interseção de Vias"
"Interseção de Vias;Declive;Reta";"Declive;Interseção de Vias;Reta"
"Declive;Reta;Interseção de Vias";"Declive;Interseção de Vias;Reta"
"Declive;Interseção de Vias;Reta";"Declive;Interseção de Vias;Reta"
"Reta;Declive;Interseção de Vias";"Declive;Interseção de Vias;Reta"
"Interseção de Vias;Reta;Declive";"Declive;Interseção de Vias;Reta"
"Reta;Interseção de Vias;Declive";"Declive;Interseção de Vias;Reta"
"Declive;Interseção de Vias;Retorno Regulamentado;Reta";"Declive;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta;Interseção de Vias;Declive";"Declive;Interseção de Vias;Reta;Retorno Regulamentado"
"Declive;Reta;Interseção de Vias;Retorno Regulamentado";"Declive;Interseção de Vias;Reta;Retorno Regulamentado"
"Reta;Declive;Retorno Regulamentado;Interseção de Vias";"Declive;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Reta;Túnel;Declive";"Declive;Interseção de Vias;Reta;Retorno Regulamentado;Túnel"
