id;descricao;severidade;status;linhas_avaliadas;violacoes;pct_violacoes;exemplos;detalhe
X312;km preenchido deve ser >= 0,1 conforme o dicionario.;aviso;FALHOU;72529;175;0.241283;{'id': '653391', 'km': '0,0'} | {'id': '654575', 'km': '0,0'} | {'id': '654713', 'km': '0,0'} | {'id': '655956', 'km': '0,0'} | {'id': '656665', 'km': '0,0'};valores preservados de proposito: o dicionario nao da regra de correcao
X313;qtd_veiculos deve ser >= 1.;aviso;FALHOU;72529;5;0.006894;{'id': '663131', 'qtd_veiculos': '0'} | {'id': '705149', 'qtd_veiculos': '0'} | {'id': '708496', 'qtd_veiculos': '0'} | {'id': '720196', 'qtd_veiculos': '0'} | {'id': '726474', 'qtd_veiculos': '0'};
X314;latitude e longitude devem estar dentro dos limites do territorio brasileiro.;aviso;PASSOU;72529;0;0.0;;
X316;motivo_inelegibilidade esta preenchido exatamente quando elegivel_modelo = 'Nao'.;critico;PASSOU;72529;0;0.0;;observacoes sobre entradas ausentes vao em 'entradas_ausentes'
X315;Nenhuma celula textual deve comecar ou terminar com espaco.;aviso;PASSOU;3191276;0;0.0;;
M401;Reconciliacao: entrada = duplicatas + quarentena + mantidas, e o numero de ocorrencias declarado corresponde as linhas do CSV.;critico;PASSOU;584010;0;0.0;;origem: limpeza.json
M402;elegivel_modelo usa apenas Sim/Nao.;critico;PASSOU;72529;0;0.0;;
M403;Ha registros elegiveis para o treino supervisionado.;critico;PASSOU;72529;0;0.0;;72528 de 72529 registros elegiveis
M404;Cada classe do alvo tem suporte minimo de 30 registros elegiveis.;aviso;PASSOU;72528;0;0.0;;suporte por classe: {'Com Vítimas Feridas': 56181, 'Sem Vítimas': 11138, 'Com Vítimas Fatais': 5209}
M405;Distribuicao das classes entre os registros elegiveis.;informativo;PASSOU;72528;0;0.0;;{'Com Vítimas Feridas': 56181, 'Sem Vítimas': 11138, 'Com Vítimas Fatais': 5209}
