linha_origem;id;pesid;coluna;valor_original;motivo;acao
79437;663578;1496531;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79439;663578;1496529;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79440;663578;1496528;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79442;663578;1496526;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79475;663578;1496581;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79478;663578;1496550;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79480;663578;1496548;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79482;663578;1496546;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79483;663578;1496545;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79484;663578;1496544;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79485;663578;1496543;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79486;663578;1496542;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79490;663578;1496537;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79491;663578;1496536;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79492;663578;1496535;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79493;663578;1496534;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79494;663578;1496533;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79495;663578;1496532;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79496;663578;1496531;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79498;663578;1496529;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79499;663578;1496528;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79501;663578;1496526;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79534;663578;1496581;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79537;663578;1496550;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79539;663578;1496548;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79541;663578;1496546;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79542;663578;1496545;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79543;663578;1496544;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79544;663578;1496543;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79545;663578;1496542;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79549;663578;1496537;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79550;663578;1496536;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79551;663578;1496535;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79552;663578;1496534;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79553;663578;1496533;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79554;663578;1496532;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79555;663578;1496531;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79557;663578;1496529;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79558;663578;1496528;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79560;663578;1496526;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
85891;664429;1498966;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
85896;664429;1498966;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
86474;664523;1499055;idade;127;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
88737;664864;1499826;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
89057;664915;1499889;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
103080;666987;1505006;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
106414;667449;1506030;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
107833;667654;1506555;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
112209;668326;1508174;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
112212;668326;1508174;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
112215;668326;1508174;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
117159;669018;1511496;idade;830;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
118745;669163;1510192;idade;1024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
118747;669163;1510192;idade;1024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
118749;669163;1510192;idade;1024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
118751;669163;1510192;idade;1024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
119424;669259;1510407;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
124950;670097;1512508;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
124951;670097;1512365;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
127807;670554;1515130;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
127813;670554;1515130;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
127819;670554;1515130;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
145124;672867;1519242;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
145128;672867;1519242;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
145132;672867;1519242;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
145136;672867;1519242;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
148523;673350;1524376;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
148528;673350;1524376;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
148533;673350;1524376;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
151809;673833;1521574;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
169718;687308;1527165;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
171799;687602;1527840;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197554;690991;1536048;idade;1046;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197556;690991;1536048;idade;1046;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197558;690991;1536048;idade;1046;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197560;690991;1536048;idade;1046;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197724;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197739;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197754;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197769;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197784;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197799;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197814;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197829;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197844;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197859;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197874;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197889;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197904;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197919;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197934;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197949;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197964;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197979;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
197994;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198009;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198024;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198039;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198054;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198069;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198084;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198099;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198114;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198129;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198144;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198159;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198174;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198189;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198204;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198219;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198234;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
198249;691021;1536117;idade;225;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
